Generations,MaxFitness,MinFitness,MeanFitness,StdFitness,MaxLinks,MinLinks,MeanLinks,Best_Bot_Fit,Best_Bot_Link,Best_Bot_Distance_to_Peak
0,-5.064481351489083,-7.947513124790975,-6.7080747184485725,0.48261102651780824,11,7,9.0,-5.064481351489083,11,10.305862083601331
1,-5.051303697728028,-7.697825429448828,-6.664047255864293,0.4544215204551612,15,5,9.0,-5.051303697728028,11,10.279913716258603
2,-5.051303697728028,-8.745464515508154,-6.597431674018943,0.5391417351687627,13,5,8.0,-5.051303697728028,11,10.279913716258603
3,-4.99774845314932,-7.833853417260073,-6.581207202437078,0.4913149519995797,15,5,8.0,-4.99774845314932,11,10.174476212528463
4,-4.972822842075192,-7.665144762608955,-6.482033588325679,0.5458597902056778,15,5,8.0,-4.972822842075192,9,10.124748485976415
5,-4.9603760111359305,-7.678068312385787,-6.391548712474583,0.6416668188195173,17,5,9.0,-4.9603760111359305,11,10.098404462148444
6,-4.9603760111359305,-7.7175873161816995,-6.398529405144512,0.6500232612318689,17,5,9.0,-4.9603760111359305,11,10.098404462148444
7,-4.9104796105298245,-7.393847346403901,-6.280642473815391,0.6300789302084084,15,5,8.0,-4.9104796105298245,9,10.00221341670935
8,-4.852730627790484,-7.601430070042715,-6.125798662884783,0.6731824217411974,21,5,8.0,-4.852730627790484,7,9.886209283000705
9,-4.852730627790484,-7.631309347264068,-6.048133472459248,0.6828066752526698,19,5,8.0,-4.852730627790484,7,9.886209283000705
10,-4.840780865318974,-7.62744294937724,-5.904909645328687,0.71796159347948,15,5,8.0,-4.840780865318974,7,9.865628397274701
11,-4.716624855103403,-7.747343280001953,-5.75686122936061,0.7004811680335138,15,5,8.0,-4.716624855103403,9,9.555471000718999
12,-4.716624855103403,-7.299582242863518,-5.670751447242943,0.683010906366175,15,5,8.0,-4.716624855103403,9,9.555471000718999
13,-4.716624855103403,-7.161902099578625,-5.590641764451895,0.66302148350006,15,5,8.0,-4.716624855103403,9,9.555471000718999
14,-4.716624855103403,-7.5657573494044055,-5.632580254769205,0.7646830839747614,15,5,8.0,-4.716624855103403,9,9.555471000718999
15,-4.716624855103403,-9999.0,-105.53261122352681,994.331175716313,13,5,8.0,-4.716624855103403,9,9.555471000718999
16,-4.716624855103403,-7.513502496824258,-5.644258510980577,0.802170400880632,15,5,8.0,-4.716624855103403,9,9.555471000718999
17,-4.716624855103403,-7.806303988239371,-5.672329991768688,0.8484231454031212,15,5,8.0,-4.716624855103403,9,9.555471000718999
18,-4.6912858993595705,-7.6498178301882485,-5.549066423057597,0.774178029059508,15,5,8.0,-4.6912858993595705,9,9.526466934232417
19,-4.679346842191356,-7.233376509499479,-5.3935596255297575,0.7254295052741301,11,5,8.0,-4.679346842191356,7,9.463294473567501
20,-4.679346842191356,-7.653658842254964,-5.261330448031918,0.7362185700532365,11,5,8.0,-4.679346842191356,7,9.463294473567501
21,-4.676453190911779,-7.473272338842399,-5.257525212682791,0.7496409915193362,15,7,8.0,-4.676453190911779,11,9.453237825278443
22,-4.676453190911779,-7.772823737217738,-5.297733345368938,0.7147671260768591,15,7,8.0,-4.676453190911779,11,9.453237825278443
23,-4.676453190911779,-7.5231685094191505,-5.416676245728119,0.7869110553650359,13,5,8.0,-4.676453190911779,11,9.453237825278443
24,-4.65835456861372,-7.910530133455962,-5.384170620498353,0.7823772591931513,15,7,8.0,-4.65835456861372,15,9.419790797823403
25,-4.65835456861372,-7.66087837907105,-5.402239766794,0.6905093562889654,15,7,8.0,-4.65835456861372,15,9.419790797823403
26,-4.65835456861372,-7.555653248175736,-5.274673839133851,0.6305853187862165,15,7,8.0,-4.65835456861372,15,9.419790797823403
27,-4.65835456861372,-7.788393707335805,-5.52435023340898,0.8683887629264571,15,5,8.0,-4.65835456861372,15,9.419790797823403
28,-4.624901516743014,-7.716266340311922,-5.441295715034287,0.794888731686735,17,5,8.0,-4.624901516743014,7,9.369241436733597
29,-4.593747554870265,-7.675531466742855,-5.403540260866151,0.7551409985798218,17,5,8.0,-4.593747554870265,7,9.380170178227841
30,-4.593747554870265,-7.614597651160068,-5.496287941063385,0.7650462594012682,13,7,8.0,-4.593747554870265,7,9.380170178227841
31,-4.593747554870265,-7.720174370018546,-5.571334185602094,0.805688809529034,15,7,8.0,-4.593747554870265,7,9.380170178227841
32,-4.593747554870265,-7.534042711240999,-5.436549781792929,0.7700511790357684,15,7,8.0,-4.593747554870265,7,9.380170178227841
33,-4.554371908084263,-7.436204363028207,-5.394459610552497,0.7118385525889979,13,5,8.0,-4.554371908084263,9,9.235989134470554
34,-4.554371908084263,-7.643601295621063,-5.367692350904318,0.7489668598313955,11,5,8.0,-4.554371908084263,9,9.235989134470554
35,-4.554371908084263,-7.7665959525022545,-5.421501540679075,0.758805172240093,13,5,8.0,-4.554371908084263,9,9.235989134470554
36,-4.554371908084263,-7.394185895714583,-5.355292020315137,0.6802298997365085,15,5,8.0,-4.554371908084263,9,9.235989134470554
37,-4.554371908084263,-7.687039091103727,-5.390722914186257,0.7395228495243252,13,5,8.0,-4.554371908084263,9,9.235989134470554
38,-4.553501734486078,-7.603739000237943,-5.4088750359587525,0.723529174949623,13,5,8.0,-4.553501734486078,9,9.233356250014852
39,-4.553501734486078,-7.338868482298426,-5.494466878410305,0.763878191805184,15,5,8.0,-4.553501734486078,9,9.233356250014852
40,-4.553501734486078,-7.495404618811374,-5.395924453050235,0.6897670918756326,15,5,8.0,-4.553501734486078,9,9.233356250014852
41,-4.553501734486078,-7.763483580184415,-5.47886370655995,0.7723466213344706,13,5,8.0,-4.553501734486078,9,9.233356250014852
42,-4.553501734486078,-7.360171939648693,-5.385723867517234,0.7258031497098724,13,5,8.0,-4.553501734486078,9,9.233356250014852
43,-4.553501734486078,-7.319460881250641,-5.409781705529981,0.6976682579794569,15,5,8.0,-4.553501734486078,9,9.233356250014852
44,-4.553501734486078,-7.810520673397553,-5.5611944406740745,0.901574221814683,15,5,8.0,-4.553501734486078,9,9.233356250014852
45,-4.553501734486078,-7.439755488723557,-5.4735666185994285,0.7886438472109893,15,5,8.0,-4.553501734486078,9,9.233356250014852
46,-4.553501734486078,-7.189914593352792,-5.348131478366907,0.6579126620529239,17,5,8.0,-4.553501734486078,9,9.233356250014852
47,-4.553501734486078,-7.687474666877581,-5.423994515520827,0.7247893043956173,13,5,8.0,-4.553501734486078,9,9.233356250014852
48,-4.553501734486078,-7.274051489390276,-5.43709300384451,0.7711257888013103,11,5,8.0,-4.553501734486078,9,9.233356250014852
49,-4.553501734486078,-7.564370428821673,-5.4362698379640255,0.7897823692586706,13,5,8.0,-4.553501734486078,9,9.233356250014852
50,-4.553501734486078,-7.701757681316844,-5.555229422769404,0.8320633261815499,15,5,8.0,-4.553501734486078,9,9.233356250014852
51,-4.553501734486078,-8.005097119124448,-5.781679267309219,0.916127710659577,15,5,8.0,-4.553501734486078,9,9.233356250014852
52,-4.553501734486078,-7.6458316583684995,-5.5308810783095215,0.8231977231912515,13,5,8.0,-4.553501734486078,9,9.233356250014852
53,-4.553501734486078,-7.5096421639095725,-5.452472697162998,0.7577077246435826,15,5,8.0,-4.553501734486078,9,9.233356250014852
54,-4.553501734486078,-7.716621683654446,-5.506644363057037,0.8000297894623503,17,5,8.0,-4.553501734486078,9,9.233356250014852
55,-4.553501734486078,-7.526686896321769,-5.4426461987101575,0.7499239199020225,13,5,8.0,-4.553501734486078,9,9.233356250014852
56,-4.553501734486078,-7.746240124743674,-5.3156600331186015,0.6795637711241059,13,5,8.0,-4.553501734486078,9,9.233356250014852
57,-4.55350160090306,-7.731618729807159,-5.479830283034879,0.7569145899061085,17,5,8.0,-4.55350160090306,9,9.233355990943924
58,-4.55350160090306,-7.687474666877581,-5.564809905219411,0.7859579440486049,15,5,8.0,-4.55350160090306,9,9.233355990943924
59,-4.5533687173899136,-7.697737255626864,-5.45934402681021,0.7831408436051064,15,5,8.0,-4.5533687173899136,11,9.235251966334124
60,-4.55245685044841,-7.808356201433775,-5.4629854024873135,0.7819834398799139,11,5,8.0,-4.55245685044841,9,9.228977324515808
61,-4.55245685044841,-7.834976661709015,-5.446565494403761,0.7767673696989872,15,5,8.0,-4.55245685044841,9,9.228977324515808
62,-4.55245685044841,-7.549200324543468,-5.483960993241862,0.7756025765556653,19,5,8.0,-4.55245685044841,9,9.228977324515808
63,-4.55245685044841,-7.389773672848902,-5.525764927937564,0.7688933073801243,15,5,8.0,-4.55245685044841,9,9.228977324515808
64,-4.55245685044841,-7.650934897349678,-5.563011594015333,0.8160367268188412,15,5,8.0,-4.55245685044841,9,9.228977324515808
65,-4.55245685044841,-7.722301141224446,-5.4951395020425515,0.8242353676159174,15,5,8.0,-4.55245685044841,9,9.228977324515808
66,-4.55245685044841,-7.682459543462117,-5.481288009088853,0.7522270541454525,15,7,8.0,-4.55245685044841,9,9.228977324515808
67,-4.55245685044841,-7.64327320539787,-5.497567248369132,0.7568255748407695,15,5,8.0,-4.55245685044841,9,9.228977324515808
68,-4.55245685044841,-7.618021059255646,-5.434560742171244,0.8269244489076716,13,5,8.0,-4.55245685044841,9,9.228977324515808
69,-4.55245685044841,-7.8096551961850444,-5.516688312353544,0.928629081689067,13,5,8.0,-4.55245685044841,9,9.228977324515808
70,-4.55245685044841,-7.478648556841586,-5.326532281338165,0.6916882646593525,13,7,8.0,-4.55245685044841,9,9.228977324515808
71,-4.55245685044841,-7.533711535775411,-5.353457693326265,0.7228990893803271,13,7,8.0,-4.55245685044841,9,9.228977324515808
72,-4.55245685044841,-7.6089299558026235,-5.397237991263836,0.7512646257411449,13,7,8.0,-4.55245685044841,9,9.228977324515808
73,-4.55245685044841,-7.565690199301985,-5.496689490170936,0.8031796035582492,15,5,8.0,-4.55245685044841,9,9.228977324515808
74,-4.55245685044841,-7.5881778066527605,-5.555400406823655,0.8567252151511576,11,5,8.0,-4.55245685044841,9,9.228977324515808
75,-4.55245685044841,-7.540457593165521,-5.43235909278943,0.7520512836847977,15,5,8.0,-4.55245685044841,9,9.228977324515808
76,-4.530320787319319,-7.830018883042862,-5.517450175602209,0.7901250626358719,13,5,8.0,-4.530320787319319,11,9.185372441252209
77,-4.530320787319319,-7.345925079708681,-5.651577255066033,0.8222594420733548,15,5,8.0,-4.530320787319319,11,9.185372441252209
